4	2	0.417667
4	3	0.434915
4	4	0.461210
4	5	0.505529
4	6	0.488147
4	7	0.289309
4	8	0.264923
4	9	0.260151
4	10	0.224960
4	11	0.243060

5	2	0.416187
5	3	0.435571
5	4	0.470416
5	5	0.506838
5	6	0.489474
5	7	0.290406
5	8	0.265233
5	9	0.255272
5	10	0.225495
5	11	0.243110

6	2	0.416301
6	3	0.443416
6	4	0.474681
6	5	0.508177
6	6	0.491042
6	7	0.290885
6	8	0.261914
6	9	0.254175
6	10	0.225645
6	11	0.243063

7	2	0.429650
7	3	0.454670
7	4	0.485552
7	5	0.517506
7	6	0.502430
7	7	0.318933
7	8	0.270234
7	9	0.262382
7	10	0.233911
7	11	0.248253

8	2	0.479612
8	3	0.501133
8	4	0.530187
8	5	0.556910
8	6	0.549490
8	7	0.448922
8	8	0.338236
8	9	0.304709
8	10	0.273702
8	11	0.287849

9	2	0.538392
9	3	0.558862
9	4	0.580854
9	5	0.604563
9	6	0.596552
9	7	0.527283
9	8	0.478410
9	9	0.372289
9	10	0.325690
9	11	0.336444

10	2	0.606436
10	3	0.622475
10	4	0.637891
10	5	0.658813
10	6	0.651616
10	7	0.593549
10	8	0.560259
10	9	0.516684
10	10	0.404797
10	11	0.392423

11	2	0.632132
11	3	0.644815
11	4	0.659089
11	5	0.677109
11	6	0.670328
11	7	0.597390
11	8	0.562475
11	9	0.535065
11	10	0.479346
11	11	0.425063

12	2	0.379118
12	3	0.390172
12	4	0.402538
12	5	0.418164
12	6	0.410571
12	7	0.349507
12	8	0.315603
12	9	0.286354
12	10	0.265028
12	11	0.250990

13	2	0.346791
13	3	0.355248
13	4	0.366766
13	5	0.378439
13	6	0.371997
13	7	0.325962
13	8	0.293608
13	9	0.283214
13	10	0.246980
13	11	0.231569

14	2	0.313661
14	3	0.321429
14	4	0.328031
14	5	0.337291
14	6	0.332169
14	7	0.298875
14	8	0.289955
14	9	0.263223
14	10	0.228688
14	11	0.211797

15	2	0.280309
15	3	0.284156
15	4	0.289208
15	5	0.296277
15	6	0.292437
15	7	0.293001
15	8	0.265318
15	9	0.239555
15	10	0.209319
15	11	0.191058

16	2	0.257200
16	3	0.259463
16	4	0.262901
16	5	0.267702
16	6	0.283462
16	7	0.284817
16	8	0.259630
16	9	0.232566
16	10	0.200968
16	11	0.180224

17	2	0.220893
17	3	0.221761
17	4	0.222609
17	5	0.243814
17	6	0.245514
17	7	0.261492
17	8	0.238344
17	9	0.211884
17	10	0.181167
17	11	0.158252

18	2	0.174937
18	3	0.174475
18	4	0.191924
18	5	0.196081
18	6	0.196772
18	7	0.209154
18	8	0.207215
18	9	0.181341
18	10	0.154100
18	11	0.128129

19	2	0.118944
19	3	0.136362
19	4	0.137056
19	5	0.139300
19	6	0.139455
19	7	0.145526
19	8	0.146553
19	9	0.143461
19	10	0.117781
19	11	0.089233

20	2	0.072531
20	3	0.072901
20	4	0.072904
20	5	0.073566
20	6	0.073818
20	7	0.075745
20	8	0.076009
20	9	0.076770
20	10	0.071992
20	11	0.041852

