2	0.120256	0.121656	0.121411	0.113309	0.110076	0.413293	
3	0.113172	0.121046	0.113611	0.113051	0.105439	0.433680	
4	0.113438	0.104452	0.111976	0.106502	0.105174	0.458458	
5	0.101833	0.114036	0.107202	0.095283	0.097425	0.484221	
6	0.134840	0.102985	0.103771	0.097237	0.094536	0.466632	
7	0.359680	0.135320	0.074046	0.075744	0.069698	0.285513	
8	0.120560	0.359680	0.126259	0.065074	0.066699	0.261728	
9	0.110544	0.100952	0.354246	0.119232	0.058055	0.256971	
10	0.104682	0.110544	0.112445	0.326499	0.112637	0.233193	
11	0.095878	0.104682	0.103113	0.104938	0.338663	0.252725	
